Country Name,Country Code,2012
Aruba,ABW,75.299
Afghanistan,AFG,62.054
Angola,AGO,57.236
Albania,ALB,77.252
Andorra,AND,
Arab World,ARB,70.7038266
United Arab Emirates,ARE,76.711
Argentina,ARG,75.598
Armenia,ARM,73.82
American Samoa,ASM,
Antigua and Barbuda,ATG,76.087
Australia,AUS,82.04634146
Austria,AUT,80.93658537
Azerbaijan,AZE,71.506
Burundi,BDI,58.568
Belgium,BEL,80.38536585
Benin,BEN,59.842
Burkina Faso,BFA,58.374
Bangladesh,BGD,70.606
Bulgaria,BGR,74.31463415
Bahrain,BHR,76.342
"Bahamas, The",BHS,72.424
Bosnia and Herzegovina,BIH,76.401
Belarus,BLR,71.96585366
Belize,BLZ,73.044
Bermuda,BMU,81.67780488
Bolivia,BOL,69.01
Brazil,BRA,74.209
Barbados,BRB,78.547
Brunei Darussalam,BRN,74.962
Bhutan,BTN,69.263
Botswana,BWA,63.511
Central African Republic,CAF,48.638
Canada,CAN,81.64878049
Central Europe and the Baltics,CEB,75.9934886
Switzerland,CHE,82.69756098
Channel Islands,CHI,81.883
Chile,CHL,79.176
China,CHN,75.013
Cote d'Ivoire,CIV,54.271
Cameroon,CMR,56.073
"Congo, Dem. Rep.",COD,57.914
"Congo, Rep.",COG,61.423
Colombia,COL,75.882
Comoros,COM,62.595
Cabo Verde,CPV,71.445
Costa Rica,CRI,79.074
Caribbean small states,CSS,72.91180346
Cuba,CUB,78.446
Curacao,CUW,77.52439024
Cayman Islands,CYM,
Cyprus,CYP,79.812
Czech Republic,CZE,78.07560976
Germany,DEU,80.53902439
Djibouti,DJI,61.395
Dominica,DMA,
Denmark,DNK,80.05121951
Dominican Republic,DOM,72.523
Algeria,DZA,75.436
East Asia & Pacific (excluding high income),EAP,73.64529744
Early-demographic dividend,EAR,68.80321101
East Asia & Pacific,EAS,74.56212675
Europe & Central Asia (excluding high income),ECA,71.59716759
Europe & Central Asia,ECS,76.62455211
Ecuador,ECU,75.495
"Egypt, Arab Rep.",EGY,70.736
Euro area,EMU,81.22715817
Eritrea,ERI,63.238
Spain,ESP,82.42682927
Estonia,EST,76.32682927
Ethiopia,ETH,63.281
European Union,EUU,80.15688815
Fragile and conflict affected situations,FCS,59.40927758
Finland,FIN,80.62682927
Fiji,FJI,66.859
France,FRA,81.96829268
Faroe Islands,FRO,81.0902439
"Micronesia, Fed. Sts.",FSM,66.817
Gabon,GAB,62.924
United Kingdom,GBR,80.90487805
Georgia,GEO,72.097
Ghana,GHA,61.72
Gibraltar,GIB,
Guinea,GIN,57.905
"Gambia, The",GMB,60.178
Guinea-Bissau,GNB,55.645
Equatorial Guinea,GNQ,56.288
Greece,GRC,80.63414634
Grenada,GRD,72.669
Greenland,GRL,71.29902439
Guatemala,GTM,72.236
Guam,GUM,78.408
Guyana,GUY,68.575
High income,HIC,80.07343349
"Hong Kong SAR, China",HKG,83.4804878
Honduras,HND,73.814
Heavily indebted poor countries (HIPC),HPC,60.16656463
Croatia,HRV,76.92439024
Haiti,HTI,61.26
Hungary,HUN,75.06341463
IBRD only,IBD,71.8275975
IDA & IBRD total,IBT,69.4581623
IDA total,IDA,61.96761613
IDA blend,IDB,60.09327035
Indonesia,IDN,69.866
IDA only,IDX,62.91116673
Isle of Man,IMN,
India,IND,67.545
Not classified,INX,
Ireland,IRL,80.84634146
"Iran, Islamic Rep.",IRN,74.776
Iraq,IRQ,69.148
Iceland,ISL,82.91707317
Israel,ISR,81.70487805
Italy,ITA,82.23902439
Jamaica,JAM,74.001
Jordan,JOR,73.722
Japan,JPN,83.09609756
Kazakhstan,KAZ,69.61
Kenya,KEN,62.659
Kyrgyz Republic,KGZ,70.00243902
Cambodia,KHM,67.48
Kiribati,KIR,66.381
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,80.8195122
Kuwait,KWT,74.728
Latin America & Caribbean (excluding high income),LAC,74.25919605
Lao PDR,LAO,65.267
Lebanon,LBN,78.611
Liberia,LBR,60.663
Libya,LBY,71.901
St. Lucia,LCA,75.138
Latin America & Caribbean,LCN,74.46148905
Least developed countries: UN classification,LDC,62.51534548
Low income,LIC,60.95442997
Liechtenstein,LIE,82.38292683
Sri Lanka,LKA,75.796
Lower middle income,LMC,66.6775633
Low & middle income,LMY,69.3728673
Lesotho,LSO,47.416
Late-demographic dividend,LTE,74.60987675
Lithuania,LTU,73.86341463
Luxembourg,LUX,81.39268293
Latvia,LVA,73.77804878
"Macao SAR, China",MAC,83.158
St. Martin (French part),MAF,79.02195122
Morocco,MAR,74.97
Monaco,MCO,
Moldova,MDA,70.581
Madagascar,MDG,64.28
Maldives,MDV,76.664
Middle East & North Africa,MEA,72.93165619
Mexico,MEX,74.966
Marshall Islands,MHL,
Middle income,MIC,70.2555233
North Macedonia,MKD,75.019
Mali,MLI,56.135
Malta,MLT,80.74634146
Myanmar,MMR,64.453
Middle East & North Africa (excluding high income),MNA,72.40502044
Montenegro,MNE,75.823
Mongolia,MNG,68.217
Northern Mariana Islands,MNP,
Mozambique,MOZ,53.931
Mauritania,MRT,63.079
Mauritius,MUS,73.86341463
Malawi,MWI,58.629
Malaysia,MYS,74.877
North America,NAC,79.03151682
Namibia,NAM,59.387
New Caledonia,NCL,77.06907036
Niger,NER,58.79
Nigeria,NGA,51.786
Nicaragua,NIC,72.951
Netherlands,NLD,81.10487805
Norway,NOR,81.45121951
Nepal,NPL,68.426
Nauru,NRU,
New Zealand,NZL,81.15609756
OECD members,OED,79.49859028
Oman,OMN,76.149
Other small states,OSS,65.71946022
Pakistan,PAK,65.849
Panama,PAN,77.188
Peru,PER,74.981
Philippines,PHL,70.149
Palau,PLW,
Papua New Guinea,PNG,62.604
Poland,POL,76.74634146
Pre-demographic dividend,PRE,57.83555535
Puerto Rico,PRI,78.84758537
"Korea, Dem. Peopleâ€™s Rep.",PRK,70.454
Portugal,PRT,80.37317073
Paraguay,PRY,73.068
West Bank and Gaza,PSE,73.041
Pacific island small states,PSS,68.88198265
Post-demographic dividend,PST,80.08668975
French Polynesia,PYF,76.074
Qatar,QAT,79.399
Romania,ROU,74.41219512
Russian Federation,RUS,70.07219512
Rwanda,RWA,65.438
South Asia,SAS,67.64633996
Saudi Arabia,SAU,74.254
Sudan,SDN,63.542
Senegal,SEN,65.448
Singapore,SGP,81.99512195
Solomon Islands,SLB,71.296
Sierra Leone,SLE,51.018
El Salvador,SLV,71.692
San Marino,SMR,85.41707317
Somalia,SOM,54.713
Serbia,SRB,74.83658537
Sub-Saharan Africa (excluding high income),SSA,58.12649017
South Sudan,SSD,55.791
Sub-Saharan Africa,SSF,58.14957954
Small states,SST,67.28394944
Sao Tome and Principe,STP,68.306
Suriname,SUR,70.851
Slovak Republic,SVK,76.1097561
Slovenia,SVN,80.12439024
Sweden,SWE,81.70487805
Eswatini,SWZ,49.862
Sint Maarten (Dutch part),SXM,73.05365854
Seychelles,SYC,74.27560976
Syrian Arab Republic,SYR,70.55
Turks and Caicos Islands,TCA,
Chad,TCD,51.928
East Asia & Pacific (IDA & IBRD countries),TEA,73.685484
Europe & Central Asia (IDA & IBRD countries),TEC,72.21571764
Togo,TGO,58.661
Thailand,THA,74.992
Tajikistan,TJK,69.34
Turkmenistan,TKM,67.167
Latin America & the Caribbean (IDA & IBRD countries),TLA,74.35526592
Timor-Leste,TLS,67.72
Middle East & North Africa (IDA & IBRD countries),TMN,72.3975981
Tonga,TON,70.242
South Asia (IDA & IBRD),TSA,67.64633996
Sub-Saharan Africa (IDA & IBRD countries),TSS,58.14957954
Trinidad and Tobago,TTO,72.382
Tunisia,TUN,75.376
Turkey,TUR,75.373
Tuvalu,TUV,
Tanzania,TZA,60.47
Uganda,UGA,59.017
Ukraine,UKR,70.94414634
Upper middle income,UMC,73.73062547
Uruguay,URY,77.004
United States,USA,78.74146341
Uzbekistan,UZB,70.155
St. Vincent and the Grenadines,VCT,71.879
"Venezuela, RB",VEN,73.037
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,78.66829268
Vietnam,VNM,74.958
Vanuatu,VUT,69.421
World,WLD,71.17165012
Samoa,WSM,72.136
Kosovo,XKX,70.49756098
"Yemen, Rep.",YEM,65.92
South Africa,ZAF,60.06
Zambia,ZMB,58.502
Zimbabwe,ZWE,55.032
